aa,Δήμος (σχ. Καλλικράτης),Περιφεριακή Ενότητα,Περιφέρεια,#
162,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
163,ΖΑΧΑΡΩΣ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
164,ΗΛΙΔΑΣ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
165,ΠΗΝΕΙΟΥ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
166,ΠΥΡΓΟΥ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
167,ΑΡΓΟΥΣ-ΜΥΚΗΝΩΝ,ΑΡΓΟΛΙΔΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
168,ΕΠΙΔΑΥΡΟΥ,ΑΡΓΟΛΙΔΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
169,ΕΡΜΙΟΝΙΔΑΣ,ΑΡΓΟΛΙΔΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
170,ΝΑΥΠΛΙΕΩΝ,ΑΡΓΟΛΙΔΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
171,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
172,ΓΟΡΤΥΝΙΑΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
173,ΜΕΓΑΛΟΠΟΛΗΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
174,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
175,ΤΡΙΠΟΛΗΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
176,ΒΕΛΟΥ-ΒΟΧΑΣ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
177,ΚΟΡΙΝΘΙΩΝ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
178,ΛΟΥΤΡΑΚΙΟΥ-ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
179,ΝΕΜΕΑΣ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
180,ΞΥΛΟΚΑΣΤΡΟΥ-ΕΥΡΩΣΤΙΝΗΣ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
181,ΣΙΚΥΩΝΙΩΝ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
182,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
183,ΕΛΑΦΟΝΗΣΟΥ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
184,ΕΥΡΩΤΑ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
185,ΜΟΝΕΜΒΑΣΙΑΣ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
186,ΣΠΑΡΤΗΣ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
187,ΔΥΤΙΚΗΣ ΜΑΝΗΣ,ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
188,ΚΑΛΑΜΑΤΑΣ,ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
189,ΜΕΣΣΗΝΗΣ,ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
190,ΟΙΧΑΛΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
191,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
192,ΤΡΙΦΥΛΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
193,ΑΧΑΡΝΩΝ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
194,ΒΑΡΗΣ-ΒΟΥΛΑΣ-ΒΟΥΛΙΑΓΜΕΝΗΣ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
195,ΔΙΟΝΥΣΟΥ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
196,ΚΡΩΠΙΑΣ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
197,ΛΑΥΡΕΩΤΙΚΗΣ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
198,ΜΑΡΑΘΩΝΟΣ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
199,ΜΑΡΚΟΠΟΥΛΟΥ-ΜΕΣΟΓΑΙΑΣ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
200,ΠΑΙΑΝΙΑΣ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
201,ΠΑΛΛΗΝΗΣ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
202,ΡΑΦΗΝΑΣ-ΠΙΚΕΡΜΙΟΥ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
203,ΣΑΡΩΝΙΚΟΥ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
204,ΣΠΑΤΩΝ-ΑΡΤΕΜΙΔΟΣ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
205,ΩΡΩΠΟΥ,ΑΝΑΤ. ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
206,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
207,ΑΜΑΡΟΥΣΙΟΥ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
208,ΒΡΙΛΗΣΣΙΩΝ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
209,ΚΗΦΙΣΙΑΣ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
210,ΛΥΚΟΒΡΥΣΗΣ-ΠΕΥΚΗΣ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
211,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
212,Ν. ΗΡΑΚΛΕΙΟΥ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
213,ΝΕΑΣ ΙΩΝΙΑΣ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
214,ΠΑΠΑΓΟΥ-ΧΟΛΑΡΓΟΥ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
215,ΠΕΝΤΕΛΗΣ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
216,ΦΙΛΟΘΕΗΣ-ΨΥΧΙΚΟΥ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
217,ΧΑΛΑΝΔΡΙΟΥ,Β. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
218,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
219,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ-ΚΑΜΑΤΕΡΟΥ,Δ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
220,ΑΙΓΑΛΕΩ,Δ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
221,ΙΛΙΟΥ,Δ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
222,ΠΕΡΙΣΤΕΡΙΟΥ,Δ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
223,ΠΕΤΡΟΥΠΟΛΕΩΣ,Δ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
224,ΧΑΪΔΑΡΙΟΥ,Δ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
225,ΑΣΠΡΟΠΥΡΓΟΥ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
226,ΕΛΕΥΣΙΝΑΣ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
227,ΜΑΝΔΡΑΣ-ΕΙΔΥΛΛΙΑΣ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
228,ΜΕΓΑΡΕΩΝ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
229,ΦΥΛΗΣ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,10
230,ΑΘΗΝΑΙΩΝ,ΚΕΝ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
231,ΒΥΡΩΝΟΣ,ΚΕΝ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
232,ΓΑΛΑΤΣΙΟΥ,ΚΕΝ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
233,ΔΑΦΝΗΣ-ΥΜΗΤΤΟΥ,ΚΕΝ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
234,ΖΩΓΡΑΦΟΥ,ΚΕΝ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
235,ΗΛΙΟΥΠΟΛΕΩΣ,ΚΕΝ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
236,ΚΑΙΣΑΡΙΑΝΗΣ,ΚΕΝ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
237,ΦΙΛΑΔΕΛΦΕΙΑΣ-ΧΑΛΚΗΔΟΝΟΣ,ΚΕΝ. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
238,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,Ν. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
239,ΑΛΙΜΟΥ,Ν. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
240,ΓΛΥΦΑΔΑΣ,Ν. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
241,ΕΛΛΗΝΙΚΟΥ-ΑΡΓΥΡΟΥΠΟΛΗΣ,Ν. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
242,ΚΑΛΛΙΘΕΑΣ,Ν. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
243,ΜΟΣΧΑΤΟΥ-ΤΑΥΡΟΥ,Ν. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
244,ΝΕΑΣ ΣΜΥΡΝΗΣ,Ν. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
245,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,Ν. ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,10
246,ΑΓΚΙΣΤΡΙΟΥ,ΝΗΣΩΝ,ΑΤΤΙΚΗΣ,10
247,ΑΙΓΙΝΑΣ,ΝΗΣΩΝ,ΑΤΤΙΚΗΣ,10
248,ΚΥΘΗΡΩΝ,ΝΗΣΩΝ,ΑΤΤΙΚΗΣ,10
249,ΠΟΡΟΥ,ΝΗΣΩΝ,ΑΤΤΙΚΗΣ,10
250,ΣΑΛΑΜΙΝΟΣ,ΝΗΣΩΝ,ΑΤΤΙΚΗΣ,10
251,ΣΠΕΤΣΩΝ,ΝΗΣΩΝ,ΑΤΤΙΚΗΣ,10
252,ΤΡΟΙΖΗΝΙΑΣ,ΝΗΣΩΝ,ΑΤΤΙΚΗΣ,10
253,ΥΔΡΑΣ,ΝΗΣΩΝ,ΑΤΤΙΚΗΣ,10
254,ΚΕΡΑΤΣΙΝΙΟΥ-ΔΡΑΠΕΤΣΩΝΑΣ,ΠΕΙΡΑΙΩΣ,ΑΤΤΙΚΗΣ,10
255,ΚΟΡΥΔΑΛΛΟΥ,ΠΕΙΡΑΙΩΣ,ΑΤΤΙΚΗΣ,10
256,ΝΙΚΑΙΑΣ-ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,ΠΕΙΡΑΙΩΣ,ΑΤΤΙΚΗΣ,10
257,ΠΕΙΡΑΙΩΣ,ΠΕΙΡΑΙΩΣ,ΑΤΤΙΚΗΣ,10
258,ΠΕΡΑΜΑΤΟΣ,ΠΕΙΡΑΙΩΣ,ΑΤΤΙΚΗΣ,10
259,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΒΟΡ. ΑΙΓΑΙΟΥ,11
260,ΦΟΥΡΝΩΝ-ΚΟΡΣΕΩΝ,ΙΚΑΡΙΑΣ,ΒΟΡ. ΑΙΓΑΙΟΥ,11
261,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΒΟΡ. ΑΙΓΑΙΟΥ,11
262,ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ,ΛΗΜΝΟΥ,ΒΟΡ. ΑΙΓΑΙΟΥ,11
263,ΛΗΜΝΟΥ,ΛΗΜΝΟΥ,ΒΟΡ. ΑΙΓΑΙΟΥ,11
264,ΣΑΜΟΥ,ΣΑΜΟΥ,ΒΟΡ. ΑΙΓΑΙΟΥ,11
265,ΟΙΝΟΥΣΣΩΝ,ΧΙΟΥ,ΒΟΡ. ΑΙΓΑΙΟΥ,11
266,ΧΙΟΥ,ΧΙΟΥ,ΒΟΡ. ΑΙΓΑΙΟΥ,11
267,ΨΑΡΩΝ,ΧΙΟΥ,ΒΟΡ. ΑΙΓΑΙΟΥ,11
268,ΑΝΔΡΟΥ,ΑΝΔΡΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
269,ΑΝΑΦΗΣ,ΘΗΡΑΣ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
270,ΘΗΡΑΣ,ΘΗΡΑΣ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
271,ΙΗΤΩΝ,ΘΗΡΑΣ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
272,ΣΙΚΙΝΟΥ,ΘΗΡΑΣ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
273,ΦΟΛΕΓΑΝΔΡΟΥ,ΘΗΡΑΣ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
274,ΑΓΑΘΟΝΗΣΙΟΥ,ΚΑΛΥΜΝΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
275,ΑΣΤΥΠΑΛΑΙΑΣ,ΚΑΛΥΜΝΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
276,ΚΑΛΥΜΝΙΩΝ,ΚΑΛΥΜΝΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
277,ΛΕΙΨΩΝ,ΚΑΛΥΜΝΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
278,ΛΕΡΟΥ,ΚΑΛΥΜΝΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
279,ΠΑΤΜΟΥ,ΚΑΛΥΜΝΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
280,ΚΑΡΠΑΘΟΥ,ΚΑΡΠΑΘΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
281,ΚΑΣΟΥ,ΚΑΡΠΑΘΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
282,ΚΕΑΣ,ΚΕΑΣ – ΚΥΘΝΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
283,ΚΥΘΝΟΥ,ΚΕΑΣ – ΚΥΘΝΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
284,ΚΩ,ΚΩ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
285,ΝΙΣΥΡΟΥ,ΚΩ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
286,ΚΙΜΩΛΟΥ,ΜΗΛΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
287,ΜΗΛΟΥ,ΜΗΛΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
288,ΣΕΡΙΦΟΥ,ΜΗΛΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
289,ΣΙΦΝΟΥ,ΜΗΛΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
290,ΜΥΚΟΝΟΥ,ΜΥΚΟΝΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
291,ΑΜΟΡΓΟΥ,ΝΑΞΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
292,ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,ΝΑΞΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
293,ΑΝΤΙΠΑΡΟΥ,ΠΑΡΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
294,ΠΑΡΟΥ,ΠΑΡΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
295,ΜΕΓΙΣΤΗΣ,ΡΟΔΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
296,ΡΟΔΟΥ,ΡΟΔΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
297,ΣΥΜΗΣ,ΡΟΔΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
298,ΤΗΛΟΥ,ΡΟΔΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
299,ΧΑΛΚΗΣ,ΡΟΔΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
300,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΣΥΡΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
301,ΤΗΝΟΥ,ΤΗΝΟΥ,ΝΟΤ. ΑΙΓΑΙΟΥ,12
302,ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,13
303,ΒΙΑΝΝΟΥ,ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,13
304,ΓΟΡΤΥΝΑΣ,ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,13
305,ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,13
306,ΜΑΛΕΒΙΖΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,13
307,ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ,ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,13
308,ΦΑΙΣΤΟΥ,ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,13
309,ΧΕΡΣΟΝΗΣΟΥ,ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,13
310,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,13
311,ΙΕΡΑΠΕΤΡΑΣ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,13
312,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,13
313,ΣΗΤΕΙΑΣ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,13
314,ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,ΡΕΘΥΜΝΟΥ,ΚΡΗΤΗΣ,13
315,ΑΜΑΡΙΟΥ,ΡΕΘΥΜΝΟΥ,ΚΡΗΤΗΣ,13
316,ΑΝΩΓΕΙΩΝ,ΡΕΘΥΜΝΟΥ,ΚΡΗΤΗΣ,13
317,ΜΥΛΟΠΟΤΑΜΟΥ,ΡΕΘΥΜΝΟΥ,ΚΡΗΤΗΣ,13
318,ΡΕΘΥΜΝΗΣ,ΡΕΘΥΜΝΟΥ,ΚΡΗΤΗΣ,13
319,ΑΠΟΚΟΡΩΝΟΥ,ΧΑΝΙΩΝ,ΚΡΗΤΗΣ,13
320,ΓΑΥΔΟΥ,ΧΑΝΙΩΝ,ΚΡΗΤΗΣ,13
321,ΚΑΝΤΑΝΟΥ-ΣΕΛΙΝΟΥ,ΧΑΝΙΩΝ,ΚΡΗΤΗΣ,13
322,ΚΙΣΣΑΜΟΥ,ΧΑΝΙΩΝ,ΚΡΗΤΗΣ,13
323,ΠΛΑΤΑΝΙΑ,ΧΑΝΙΩΝ,ΚΡΗΤΗΣ,13
324,ΣΦΑΚΙΩΝ,ΧΑΝΙΩΝ,ΚΡΗΤΗΣ,13
325,ΧΑΝΙΩΝ,ΧΑΝΙΩΝ,ΚΡΗΤΗΣ,13
